ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_1715401,1.29E-10,9.24E-14,8.296361,18.13623,1.49,669633285,MT1G,metallothionein 1G
ILMN_1785345,1.32E-10,9.73E-14,8.287222,18.08549,2.20,295842489,GPR84,G protein-coupled receptor 84
ILMN_2067852,1.53E-10,1.16E-13,8.256043,17.91253,8.29E-01,52352802,SLC30A1,solute carrier family 30 member 1
ILMN_1765532,2.17E-10,1.69E-13,8.188169,17.53674,4.04E-01,67906819,NELFE,negative elongation factor complex member E
ILMN_1720114,2.51E-10,2E-13,8.15773,17.36856,9.5E-01,354681981,GMNN,"geminin, DNA replication inhibitor"
ILMN_1701911,4.03E-10,3.31E-13,-8.06738,16.87063,-7.96E-01,116734715,DCANP1,dendritic cell associated nuclear protein
ILMN_2288402,4.17E-10,3.5E-13,-8.056919,16.81311,-8.93E-01,733605939,HIP1R,huntingtin interacting protein 1 related
ILMN_1730628,5.13E-10,4.41E-13,8.015291,16.58446,1.62,45243468,RNASE2,ribonuclease A family member 2
ILMN_2409220,5.48E-10,4.89E-13,7.996581,16.48183,1.34,217416393,HMMR,hyaluronan mediated motility receptor
ILMN_1678423,5.48E-10,4.94E-13,7.994888,16.47255,7.62E-01,221316733,SPA17,sperm autoantigenic protein 17
ILMN_1878029,5.92E-10,5.45E-13,-7.97685,16.37369,-7.78E-01,21750379,ZBTB20,zinc finger and BTB domain containing 20
ILMN_1809590,6.55E-10,6.22E-13,7.953001,16.24311,1.10,212720602,GINS2,GINS complex subunit 2
ILMN_1781942,6.55E-10,6.3E-13,7.950587,16.22991,1.33,217416397,HMMR,hyaluronan mediated motility receptor
ILMN_1857507,6.63E-10,6.64E-13,-7.941091,16.17796,-7.75E-01,16552794,,
ILMN_2103685,6.63E-10,6.67E-13,7.940315,16.17371,1.36,223633998,DEPDC1B,DEP domain containing 1B
ILMN_1699669,6.63E-10,6.8E-13,-7.936848,16.15476,-1.06,342307092,CXCR5,C-X-C motif chemokine receptor 5
ILMN_1742813,6.63E-10,6.93E-13,7.933344,16.1356,7.12E-01,225007608,TMEM167A,transmembrane protein 167A
ILMN_1710458,7.35E-10,7.83E-13,-7.911231,16.01477,-6.77E-01,NA,,
ILMN_1777792,7.82E-10,8.49E-13,-7.896513,15.93441,-1.37,NA,,
ILMN_1674811,8.06E-10,8.92E-13,7.887541,15.88545,1.85,387849325,OASL,2'-5'-oligoadenylate synthetase like
ILMN_1831763,9.98E-10,1.12E-12,-7.845361,15.65557,-9.54E-01,21847910,,
ILMN_1846412,1.03E-09,1.18E-12,-7.837127,15.61075,-1.13,6698307,,
ILMN_1748393,1.03E-09,1.21E-12,-7.83227,15.58432,-5.84E-01,344313167,MARCH9,membrane associated ring-CH-type finger 9
ILMN_2412384,1.06E-09,1.26E-12,7.824814,15.54376,1.26,NA,,
ILMN_1787845,1.07E-09,1.29E-12,-7.820028,15.51773,-7.66E-01,NA,,
ILMN_2285996,1.18E-09,1.44E-12,7.799713,15.40732,1.42,568599838,KIAA0101,KIAA0101
ILMN_1815303,1.22E-09,1.52E-12,7.790482,15.35719,4.96E-01,116875830,RMDN1,regulator of microtubule dynamics 1
ILMN_1666305,1.23E-09,1.58E-12,7.783897,15.32143,1.33,195927023,CDKN3,cyclin dependent kinase inhibitor 3
ILMN_1714738,1.23E-09,1.58E-12,-7.782953,15.31631,-7.95E-01,288557328,SCMH1,sex comb on midleg homolog 1 (Drosophila)
ILMN_1670238,1.23E-09,1.63E-12,7.77751,15.28677,1.41,523498708,CDC45,cell division cycle 45
ILMN_1703906,1.23E-09,1.63E-12,7.777436,15.28637,1.19,545479117,HJURP,Holliday junction recognition protein
ILMN_1916292,1.33E-09,1.8E-12,-7.759399,15.18854,-1.52,27878392,,
ILMN_1693597,1.43E-09,1.97E-12,-7.74323,15.10091,-6.46E-01,194328782,ZNF287,zinc finger protein 287
ILMN_1768973,1.46E-09,2.04E-12,7.736596,15.06498,9.68E-01,27436923,HIST2H2AC,"histone cluster 2, H2ac"
ILMN_2136089,1.8E-09,2.54E-12,7.69631,14.84704,1.08,NA,,
ILMN_1665152,1.8E-09,2.58E-12,-7.693916,14.83411,-1.51,227430280,FCRL2,Fc receptor like 2
ILMN_1737580,1.91E-09,2.81E-12,7.677618,14.74608,5.35E-01,313482862,DESI1,desumoylating isopeptidase 1
ILMN_1751444,1.91E-09,2.82E-12,7.677421,14.74501,1.16,402167319,NCAPG,non-SMC condensin I complex subunit G
ILMN_1701094,1.91E-09,2.85E-12,-7.675141,14.7327,-1.21,148277059,CLN8,"ceroid-lipofuscinosis, neuronal 8"
ILMN_1795835,1.99E-09,3.02E-12,-7.664755,14.67665,-8.04E-01,254911031,LINC00936,long intergenic non-protein coding RNA 936
ILMN_1659943,2.05E-09,3.15E-12,-7.656706,14.63323,-1.11,NA,,
ILMN_1892498,2.1E-09,3.26E-12,-7.650435,14.59942,-1.39,27833771,,
ILMN_1899960,2.1E-09,3.31E-12,-7.647968,14.58612,-1.18,NA,,
ILMN_1762713,2.29E-09,3.66E-12,7.629144,14.48469,1.88,109698610,MCEMP1,mast cell expressed membrane protein 1
ILMN_2262444,2.44E-09,3.96E-12,-7.615083,14.40899,-1.24,NA,,
ILMN_1712211,2.46E-09,4.03E-12,-7.611768,14.39116,-9.56E-01,NA,,
ILMN_1779711,2.6E-09,4.45E-12,7.593423,14.2925,1.39,555943896,DTL,denticleless E3 ubiquitin protein ligase homolog
ILMN_1699829,2.6E-09,4.46E-12,-7.593072,14.29061,-1.29,98986335,CTGF,connective tissue growth factor
ILMN_1752832,2.6E-09,4.46E-12,-7.593017,14.29031,-1.35,NA,,
ILMN_2335754,2.6E-09,4.48E-12,-7.592062,14.28518,-7.61E-01,297515492,CD1E,CD1e molecule
ILMN_1753063,2.66E-09,4.64E-12,7.585764,14.25134,9.43E-01,193211423,KIF15,kinesin family member 15
ILMN_2054019,2.68E-09,4.73E-12,7.5822,14.23219,1.78,193083170,ISG15,ISG15 ubiquitin-like modifier
ILMN_1714730,2.77E-09,4.93E-12,7.574364,14.1901,1.17,NA,,
ILMN_1657871,2.85E-09,5.15E-12,7.566572,14.14827,2.25,90186265,RSAD2,radical S-adenosyl methionine domain containing 2
ILMN_1748915,2.87E-09,5.24E-12,7.563286,14.13063,1.66,5032058,S100A12,S100 calcium binding protein A12
ILMN_1786125,2.91E-09,5.36E-12,7.559063,14.10797,1.20,166197663,CCNA2,cyclin A2
ILMN_1705477,3.23E-09,6.02E-12,-7.537531,13.99251,-8.22E-01,747165400,CAMK1D,calcium/calmodulin dependent protein kinase ID
ILMN_1742431,3.28E-09,6.18E-12,-7.532785,13.96708,-1.17,NA,,
ILMN_1747911,3.29E-09,6.27E-12,7.530109,13.95274,1.37,281427276,CDK1,cyclin dependent kinase 1
ILMN_1748831,3.83E-09,7.38E-12,-7.499769,13.79035,-7.48E-01,121114286,PPP1R13B,protein phosphatase 1 regulatory subunit 13B
ILMN_1719290,3.86E-09,7.56E-12,-7.4955,13.76753,-7.92E-01,NA,,
ILMN_2198376,3.86E-09,7.59E-12,7.494762,13.76358,4.41E-01,156713440,PSMA4,proteasome subunit alpha 4
ILMN_2187718,3.89E-09,7.74E-12,7.491103,13.74402,4.5E-01,5031644,COX17,"COX17, cytochrome c oxidase copper chaperone"
ILMN_1755843,4.54E-09,9.11E-12,7.460822,13.58229,1.86,301601600,SLC26A8,solute carrier family 26 member 8
ILMN_1761181,5.16E-09,1.05E-11,-7.43502,13.4447,-9.5E-01,282165748,NOL9,nucleolar protein 9
ILMN_1663347,5.26E-09,1.08E-11,7.429742,13.41658,3.23,215422386,OTOF,otoferlin
ILMN_1812433,5.4E-09,1.13E-11,7.421193,13.37105,2.62,970259872,HP,haptoglobin
ILMN_2230862,5.4E-09,1.13E-11,7.421048,13.37028,1.14,296040503,GYG1,glycogenin 1
ILMN_2398274,6.72E-09,1.42E-11,7.378428,13.14364,5.61E-01,313482805,PYCARD,PYD and CARD domain containing
ILMN_1801257,6.73E-09,1.43E-11,7.376392,13.13283,1.24,109637780,CENPA,centromere protein A
ILMN_1770161,7.17E-09,1.54E-11,7.362765,13.06049,1.19,168229158,BST1,bone marrow stromal cell antigen 1
ILMN_2072296,7.36E-09,1.61E-11,7.354839,13.01844,6.5E-01,756761811,CKS2,CDC28 protein kinase regulatory subunit 2
ILMN_1756326,7.36E-09,1.61E-11,7.354389,13.01605,7.12E-01,756761811,CKS2,CDC28 protein kinase regulatory subunit 2
ILMN_1911677,7.48E-09,1.66E-11,-7.349679,12.99107,-1.30,NA,,
ILMN_1804010,7.55E-09,1.69E-11,-7.346216,12.97272,-1.28,NA,,
ILMN_1761566,7.96E-09,1.8E-11,7.334536,12.91082,1.57,110227863,CYSTM1,cysteine rich transmembrane module containing 1
ILMN_1774806,8.02E-09,1.82E-11,-7.331647,12.89552,-5.81E-01,381342466,SLC9A7,solute carrier family 9 member A7
ILMN_2196984,8.04E-09,1.85E-11,7.329327,12.88323,1.13,24307928,OIP5,Opa interacting protein 5
ILMN_2126706,8.05E-09,1.86E-11,7.327494,12.87352,1.06,310688956,LMNB1,lamin B1
ILMN_1664236,8.26E-09,1.93E-11,-7.320986,12.83907,-1.55,748983358,ADAM28,ADAM metallopeptidase domain 28
ILMN_2095653,8.26E-09,1.95E-11,7.319359,12.83046,1.56,326937473,AFMID,arylformamidase
ILMN_1846517,8.64E-09,2.05E-11,-7.309459,12.77807,-6.72E-01,27469448,LOC100505715,uncharacterized LOC100505715
ILMN_1801246,1.09E-08,2.61E-11,7.264197,12.53898,6.85E-01,150010588,IFITM1,interferon induced transmembrane protein 1
ILMN_1689749,1.11E-08,2.69E-11,-7.259156,12.51239,-6.65E-01,301129237,EIF3J-AS1,EIF3J antisense RNA 1 (head to head)
ILMN_1738449,1.23E-08,3.01E-11,-7.237733,12.39949,-7.36E-01,281182821,STIM2,stromal interaction molecule 2
ILMN_2176063,1.31E-08,3.24E-11,7.223725,12.32574,1.80,167621452,FCGR1A,Fc fragment of IgG receptor Ia
ILMN_1676709,1.31E-08,3.25E-11,-7.223291,12.32346,-9.93E-01,NA,,
ILMN_1808591,1.31E-08,3.3E-11,7.220527,12.30892,6.8E-01,112382376,UBE2S,ubiquitin conjugating enzyme E2 S
ILMN_1667592,1.31E-08,3.3E-11,-7.220422,12.30836,-8.24E-01,343432580,PARVB,parvin beta
ILMN_1764826,1.32E-08,3.35E-11,7.217695,12.29402,6.51E-01,531034762,TFE3,transcription factor binding to IGHM enhancer 3
ILMN_1747016,1.33E-08,3.4E-11,7.214946,12.27956,1.16,187608536,CEP55,centrosomal protein 55
ILMN_1670503,1.36E-08,3.53E-11,-7.207665,12.24127,-9.07E-01,188035870,SMYD2,SET and MYND domain containing 2
ILMN_1768812,1.36E-08,3.54E-11,7.207142,12.23853,8.43E-01,323714266,FXYD6,FXYD domain containing ion transport regulator 6
ILMN_1733374,1.37E-08,3.61E-11,7.203804,12.22098,4.82E-01,116875830,RMDN1,regulator of microtubule dynamics 1
ILMN_1696028,1.37E-08,3.61E-11,7.203337,12.21852,5.24E-01,87298841,ETNK1,ethanolamine kinase 1
ILMN_1654389,1.38E-08,3.69E-11,7.199611,12.19894,1.63,167621452,FCGR1A,Fc fragment of IgG receptor Ia
ILMN_2352245,1.38E-08,3.71E-11,-7.198345,12.19229,-6.87E-01,393715058,RASSF6,Ras association domain family member 6
ILMN_2405521,1.38E-08,3.73E-11,7.197453,12.18761,6.81E-01,NA,,
ILMN_2212909,1.38E-08,3.76E-11,7.195812,12.17899,1.42,375493529,MELK,maternal embryonic leucine zipper kinase
ILMN_1690304,1.48E-08,4.06E-11,-7.181643,12.10459,-1.24,NA,,
ILMN_1671906,1.59E-08,4.4E-11,7.166242,12.0238,1.04,359718972,MND1,meiotic nuclear divisions 1
ILMN_1775357,1.64E-08,4.56E-11,-7.159549,11.98871,-1.34,673921630,SNX29,sorting nexin 29
ILMN_1769911,1.68E-08,4.7E-11,-7.153621,11.95765,-7.44E-01,117168274,SLC38A1,solute carrier family 38 member 1
ILMN_1714759,1.7E-08,4.8E-11,7.149915,11.93823,6.39E-01,467093484,CNIH4,cornichon family AMPA receptor auxiliary protein 4
ILMN_1758806,1.84E-08,5.24E-11,-7.133161,11.85053,-6.18E-01,187608404,C21orf2,chromosome 21 open reading frame 2
ILMN_1806533,1.87E-08,5.36E-11,-7.1291,11.82928,-7.48E-01,57242789,PDE7B,phosphodiesterase 7B
ILMN_2261600,1.88E-08,5.43E-11,7.126666,11.81655,1.81,349732137,FCGR1B,Fc fragment of IgG receptor Ib
ILMN_1653814,1.89E-08,5.53E-11,7.123095,11.79787,2.88,38683401,HBBP1,hemoglobin subunit beta pseudogene 1
ILMN_2391051,1.89E-08,5.54E-11,7.122823,11.79645,1.78,349732138,FCGR1B,Fc fragment of IgG receptor Ib
ILMN_1771618,2.07E-08,6.11E-11,-7.104361,11.69998,-8.55E-01,NA,,
ILMN_1674706,2.12E-08,6.3E-11,7.098541,11.66958,6.67E-01,94721353,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
ILMN_1774874,2.14E-08,6.39E-11,7.095708,11.65479,1.28,296010861,IL1RN,interleukin 1 receptor antagonist
ILMN_1680624,2.17E-08,6.55E-11,7.091124,11.63087,1.01,53759126,CREG1,cellular repressor of E1A stimulated genes 1
ILMN_1879480,2.17E-08,6.59E-11,-7.089933,11.62466,-5.7E-01,21751275,CCNG2,cyclin G2
ILMN_2110751,2.21E-08,6.76E-11,-7.085195,11.59994,-9.97E-01,299829230,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit
ILMN_2094875,2.25E-08,6.92E-11,-7.080607,11.57601,-1.02,318037598,ABCB1,ATP binding cassette subfamily B member 1
ILMN_1661717,2.3E-08,7.12E-11,7.0751,11.5473,8.16E-01,219842208,TFDP1,transcription factor Dp-1
ILMN_2125374,2.31E-08,7.19E-11,7.073289,11.53786,5.47E-01,985801723,CMAS,cytidine monophosphate N-acetylneuraminic acid synthetase
ILMN_1663512,2.32E-08,7.29E-11,7.070794,11.52486,5.41E-01,17017987,COX5B,cytochrome c oxidase subunit 5B
ILMN_1683450,2.38E-08,7.5E-11,7.065395,11.49673,1.22,188497628,CDCA5,cell division cycle associated 5
ILMN_1766657,2.42E-08,7.73E-11,7.059587,11.46648,1.27,396578174,STOM,stomatin
ILMN_1743078,2.42E-08,7.75E-11,-7.059234,11.46464,-6.2E-01,NA,,
ILMN_2370336,2.48E-08,7.99E-11,7.053336,11.43393,1.49,343098439,MS4A4A,membrane spanning 4-domains A4A
ILMN_1666633,2.59E-08,8.37E-11,-7.044442,11.38765,-1.07,NA,,
ILMN_1691156,2.75E-08,8.98E-11,7.031164,11.3186,9.8E-01,71274112,MT1A,metallothionein 1A
ILMN_1784554,2.75E-08,9.03E-11,-7.030064,11.31289,-8.47E-01,NA,,
ILMN_1903914,2.88E-08,9.49E-11,-7.020638,11.26391,-1.37,34526302,,
ILMN_1704094,2.91E-08,9.66E-11,7.01732,11.24668,5.68E-01,532691768,PSMA6,proteasome subunit alpha 6
ILMN_1751561,3.07E-08,1.02E-10,-7.006022,11.18804,-7.53E-01,747165397,CAMK1D,calcium/calmodulin dependent protein kinase ID
ILMN_1763228,3.08E-08,1.04E-10,-7.003553,11.17523,-7.41E-01,410442513,MEF2D,myocyte enhancer factor 2D
ILMN_1695658,3.08E-08,1.04E-10,7.002834,11.1715,1.27,195539383,KIF20A,kinesin family member 20A
ILMN_1762801,3.09E-08,1.05E-10,-7.001169,11.16286,-1.33,NA,,
ILMN_1737728,3.16E-08,1.08E-10,6.996042,11.13627,1.20,662236830,CDCA3,cell division cycle associated 3
ILMN_1712803,3.27E-08,1.13E-10,6.988147,11.09534,1.01,356582356,CCNB1,cyclin B1
ILMN_1757910,3.29E-08,1.15E-10,-6.9848,11.078,-1.12,733605939,HIP1R,huntingtin interacting protein 1 related
ILMN_2307656,3.29E-08,1.15E-10,6.984603,11.07698,7.84E-01,93588490,AGTRAP,angiotensin II receptor associated protein
ILMN_1713726,3.32E-08,1.16E-10,-6.981872,11.06283,-3.15E-01,197099797,NFYA,nuclear transcription factor Y subunit alpha
ILMN_1692116,3.33E-08,1.18E-10,6.979591,11.05101,7.75E-01,NA,,
ILMN_1693225,3.33E-08,1.18E-10,-6.97931,11.04956,-1.22,NA,,
ILMN_2388547,3.4E-08,1.21E-10,6.974016,11.02214,1.24,388240825,EPSTI1,epithelial stromal interaction 1 (breast)
ILMN_1667257,3.46E-08,1.24E-10,6.969668,10.99963,3.55E-01,115387093,SDHB,succinate dehydrogenase complex iron sulfur subunit B
ILMN_1689456,3.53E-08,1.27E-10,-6.964451,10.97263,-7.41E-01,657940864,ZBTB20,zinc finger and BTB domain containing 20
ILMN_2157510,3.89E-08,1.41E-10,6.944834,10.8712,6.92E-01,315113894,BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1
ILMN_1908274,3.93E-08,1.44E-10,-6.941356,10.85323,-7.42E-01,6568409,,
ILMN_1666933,3.93E-08,1.44E-10,6.940792,10.85032,3.68E-01,387864277,ASH2L,ASH2 like histone lysine methyltransferase complex subunit
ILMN_2151818,3.97E-08,1.46E-10,6.937997,10.83588,4.96E-01,532691768,PSMA6,proteasome subunit alpha 6
ILMN_1900263,4.01E-08,1.49E-10,-6.934804,10.81939,-1.14,8655615,,
ILMN_1662328,4.22E-08,1.57E-10,-6.924255,10.76493,-6.3E-01,94681052,CNNM3,cyclin and CBS domain divalent metal cation transport mediator 3
ILMN_1684217,4.24E-08,1.59E-10,6.922057,10.75359,1.28,378786659,AURKB,aurora kinase B
ILMN_1779854,4.3E-08,1.62E-10,6.918644,10.73599,7.92E-01,90577165,CARD6,caspase recruitment domain family member 6
ILMN_1808979,4.3E-08,1.63E-10,6.917479,10.72998,1.56,37577120,CLEC4D,C-type lectin domain family 4 member D
ILMN_1842171,4.36E-08,1.66E-10,-6.913563,10.70979,-8.96E-01,51664217,,
ILMN_1681467,4.38E-08,1.68E-10,-6.911614,10.69974,-7.13E-01,756140832,RAB11FIP4,RAB11 family interacting protein 4
ILMN_1788166,4.4E-08,1.69E-10,6.910071,10.69178,1.10,262399359,TTK,TTK protein kinase
ILMN_1750722,4.41E-08,1.71E-10,6.908286,10.68258,7.04E-01,71164880,RPS7,ribosomal protein S7
ILMN_1661342,4.55E-08,1.78E-10,-6.900455,10.64223,-7.21E-01,156671209,SEPT6,septin 6
ILMN_1774336,4.55E-08,1.78E-10,6.900355,10.64171,8.71E-01,309747077,POLE2,"DNA polymerase epsilon 2, accessory subunit"
ILMN_1703408,4.56E-08,1.8E-10,-6.898775,10.63357,-5.71E-01,313851103,FZD3,frizzled class receptor 3
ILMN_1812281,4.56E-08,1.8E-10,6.898066,10.62992,2.25,346986433,ARG1,arginase 1
ILMN_1689817,5.03E-08,2E-10,-6.878074,10.52702,-5.93E-01,282847507,LCOR,ligand dependent nuclear receptor corepressor
ILMN_1771320,5.06E-08,2.02E-10,-6.876113,10.51694,-1.10,NA,,
ILMN_1800078,5.06E-08,2.03E-10,6.875264,10.51257,7.56E-01,214832073,LMO2,LIM domain only 2
ILMN_1686261,5.15E-08,2.08E-10,-6.870902,10.49015,-7.52E-01,NA,,
ILMN_2309180,5.16E-08,2.1E-10,6.869031,10.48053,8.58E-01,51477705,SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
ILMN_1666082,5.16E-08,2.1E-10,-6.868504,10.47782,-9.99E-01,1046754203,HEATR3,HEAT repeat containing 3
ILMN_1752899,5.19E-08,2.13E-10,-6.865886,10.46436,-5.65E-01,148539885,BCL11A,B-cell CLL/lymphoma 11A
ILMN_1724666,5.19E-08,2.14E-10,-6.865385,10.46179,-1.09,NA,,
ILMN_1677186,5.24E-08,2.17E-10,-6.862605,10.4475,-1.10,992324668,FAM159A,family with sequence similarity 159 member A
ILMN_1710362,5.39E-08,2.25E-10,-6.855961,10.41338,-1.26,178057340,PPIAL4G,peptidylprolyl isomerase A like 4G
ILMN_2041222,5.39E-08,2.26E-10,-6.854817,10.4075,-7.39E-01,NA,,
ILMN_2279834,5.39E-08,2.26E-10,-6.854442,10.40558,-1.14,565671707,ZNF483,zinc finger protein 483
ILMN_1659845,5.5E-08,2.32E-10,-6.849519,10.3803,-5.82E-01,148839357,KIAA0355,KIAA0355
ILMN_1787186,5.63E-08,2.39E-10,-6.843942,10.35168,-1.31,169234615,NOV,nephroblastoma overexpressed
ILMN_1681754,5.83E-08,2.49E-10,6.835871,10.31028,1.01,215422332,GGH,gamma-glutamyl hydrolase
ILMN_2115949,5.83E-08,2.5E-10,-6.83501,10.30587,-9.03E-01,31982908,ZNF394,zinc finger protein 394
ILMN_1759453,5.83E-08,2.51E-10,6.834531,10.30341,4.92E-01,363498368,UQCRB,ubiquinol-cytochrome c reductase binding protein
ILMN_2193213,5.9E-08,2.55E-10,6.831316,10.28693,2.39,296010794,DEFA1,defensin alpha 1
ILMN_1657701,5.92E-08,2.58E-10,-6.829172,10.27594,-9.28E-01,NA,,
ILMN_1904980,5.92E-08,2.58E-10,-6.828894,10.27451,-9.49E-01,6452408,,
ILMN_1792568,5.95E-08,2.61E-10,-6.827193,10.2658,-8.18E-01,189409118,KRT9,keratin 9
ILMN_2123312,6E-08,2.64E-10,-6.824459,10.25178,-7.65E-01,1042779810,ERAP2,endoplasmic reticulum aminopeptidase 2
ILMN_1775542,6.14E-08,2.72E-10,-6.819082,10.22424,-8.12E-01,216547545,FCMR,Fc fragment of IgM receptor
ILMN_1692826,6.19E-08,2.75E-10,-6.816841,10.21276,-9.3E-01,NA,,
ILMN_1751816,6.22E-08,2.78E-10,6.814794,10.20228,5.27E-01,212276111,MCTS1,"MCTS1, re-initiation and release factor"
ILMN_1797375,6.22E-08,2.79E-10,-6.814196,10.19922,-1.28,NA,,
ILMN_2280189,6.37E-08,2.87E-10,-6.808593,10.17054,-1.52,NA,,
ILMN_1725992,6.54E-08,2.96E-10,-6.802758,10.14068,-5.43E-01,256600193,RAPGEF6,Rap guanine nucleotide exchange factor 6
ILMN_1668283,6.68E-08,3.04E-10,6.797382,10.11319,7.69E-01,289802998,HYAL2,hyaluronoglucosaminidase 2
ILMN_2355168,6.68E-08,3.05E-10,6.79666,10.10949,9.24E-01,386781865,MGST1,microsomal glutathione S-transferase 1
ILMN_2361104,6.76E-08,3.11E-10,-6.792897,10.09025,-7.72E-01,291219896,ZMAT3,zinc finger matrin-type 3
ILMN_1799848,6.76E-08,3.12E-10,6.792735,10.08943,1.95,154091031,ANKRD22,ankyrin repeat domain 22
ILMN_1756238,6.76E-08,3.13E-10,6.791892,10.08511,7.72E-01,244792861,TMEM217,transmembrane protein 217
ILMN_1742544,6.83E-08,3.18E-10,-6.789121,10.07095,-8.94E-01,301069377,MEF2C,myocyte enhancer factor 2C
ILMN_2175094,6.93E-08,3.24E-10,-6.785517,10.05254,-9.76E-01,38505160,TDRD1,tudor domain containing 1
ILMN_2279367,6.99E-08,3.28E-10,-6.782919,10.03926,-8.3E-01,NA,,
ILMN_1833858,7.25E-08,3.43E-10,-6.774359,9.99555,-8.27E-01,2795905,ADD2,adducin 2
ILMN_1694548,7.25E-08,3.43E-10,6.774059,9.99402,1.65,96304463,ANXA3,annexin A3
ILMN_2115125,7.42E-08,3.57E-10,-6.76676,9.95677,-1.09,98986335,CTGF,connective tissue growth factor
ILMN_1656910,7.42E-08,3.57E-10,6.766745,9.95669,1.35,310772219,TRIM6,tripartite motif containing 6
ILMN_2359627,7.42E-08,3.58E-10,6.765783,9.95178,7.75E-01,323362949,BCL2L11,BCL2 like 11
