"","KEGG_pathway","pNDE","pPERT","pG","pGFdr","pGFWER","Status","Entrez_id"
"41","Type II diabetes mellitus",0.113898141259813,0.101,0.0396305984005232,0.090860396332907,1,"Inhibited","8651"
"42","HTLV-I infection",0.0403878984428253,0.314,0.0573545498112557,0.122480577070723,1,"Inhibited","3383 5970 207"
"43","Chronic myeloid leukemia",0.0299938674908927,0.364,0.0575234642596864,0.122480577070723,1,"Inhibited","5970 207"
"44","Leukocyte transendothelial migration",0.000264458787160356,0.892,0.0575428916061878,0.122480577070723,1,"Inhibited","9564 3684 60 3383"
"45","Asthma",0.0586343188104523,NA,0.0586343188104523,0.122480577070723,1,"Inhibited","3586"
"46","Shigellosis",7.02791109348662e-05,0.951,0.0639936481265735,0.130769628780389,1,"Inhibited","6714 5970 3576 60"
"47","Protein processing in endoplasmic reticulum",0.460128233854802,0.024,0.0709164549343688,0.141832909868738,1,"Activated","5610"
"48","Fc gamma R-mediated phagocytosis",0.0453170122644439,0.394,0.082779427814461,0.162109712803319,1,"Inhibited","5788 207"
"49","MAPK signaling pathway",0.034903914531334,0.478,0.0932326155954776,0.17804474922643,1,"Activated","5970 207 836"
"50","Progesterone-mediated oocyte maturation",0.215063255869671,0.143,0.0947046538438456,0.17804474922643,1,"Inhibited","207"
"51","B cell receptor signaling pathway",0.0335907943557741,0.549,0.113666209625,0.209502425583332,1,"Activated","5970 207"
"52","Glioma",0.180303392428956,0.251,0.131110480951592,0.237007407874032,1,"Inhibited","207"
"53","Neurotrophin signaling pathway",0.0605996382426919,0.52,0.144485551662935,0.256257393515395,1,"Inhibited","207 5970"
"54","GnRH signaling pathway",0.22520679750515,0.288,0.176415547645245,0.307093731086167,1,"Activated","6714"
"55","Endometrial cancer",0.16958464681022,0.387,0.189727308443875,0.323401466351032,1,"Activated","207"
"56","Cholinergic synapse",0.0233061745992918,0.777,0.192664703358061,0.323401466351032,1,"Activated","207 3717"
"57","Gap junction",0.180303392428956,0.422,0.21605447040571,0.356300354704153,1,"Activated","6714"
"58","Fc epsilon RI signaling pathway",0.0217445713013855,0.866,0.259662125337188,0.420831720374063,1,"Inhibited","207 3937"
"59","Dopaminergic synapse",0.258100269560319,0.41,0.267641502083174,0.426411884674887,1,"Activated","207"
"60","Colorectal cancer",0.0180430341955347,0.894,0.274407864237891,0.429905653972696,1,"Activated","836 207"
"61","ErbB signaling pathway",0.034515284965578,0.844,0.284079067048213,0.43577256008163,1,"Activated","207 6714"
"62","Non-small cell lung cancer",0.173172722870451,0.559,0.287424454521926,0.43577256008163,1,"Activated","207"
"63","Melanoma",0.158728695151207,0.625,0.315052117598663,0.470077762766259,1,"Activated","207"
"64","Pathogenic Escherichia coli infection",0.0146418436115485,0.95,0.352657521263278,0.51796573435544,1,"Inhibited","7099 60"
"65","Cocaine addiction",0.0747594054427161,0.841,0.377138158573335,0.545399798552208,1,"Inhibited","5970"
"66","Prostate cancer",0.0317719233167032,0.93,0.394195452940443,0.561429887521237,1,"Inhibited","5970 207"
"67","Serotonergic synapse",0.0127512070979144,0.987,0.497885884621936,0.69852646499197,1,"Inhibited","836 351"
"68","VEGF signaling pathway",0.0194883907434096,0.985,0.529777991903328,0.732340165278129,1,"Activated","207 6714"
"69","PPAR signaling pathway",0.00986041140466672,1,1,1,1,"Inhibited","2167 6319"
"70","p53 signaling pathway",0.190886629685922,1,1,1,1,"Inhibited","836"
"71","mTOR signaling pathway",0.201336035705015,1,1,1,1,"Inhibited","207"
"72","Tight junction",0.00422145949802444,1,1,1,1,"Inhibited","60 207 6714"
"73","NOD-like receptor signaling pathway",0.00134815197945252,1,1,1,1,"Inhibited","5970 3576 6352"
"74","Intestinal immune network for IgA production",0.106202354466726,1,1,1,1,"Inhibited","3586"
"75","GABAergic synapse",0.144037688082654,1,1,1,1,"Inhibited","6714"
"76","Type I diabetes mellitus",0.102329957410529,1,1,1,1,"Inhibited","3002"
"77","Gastric acid secretion",0.144037688082654,1,1,1,1,"Inhibited","60"
"78","Parkinson's disease",0.381943373513685,1,1,1,1,"Inhibited","836"
"79","Amyotrophic lateral sclerosis (ALS)",0.140325863078405,1,1,1,1,"Inhibited","836"
"80","Huntington's disease",0.485472755017894,1,1,1,1,"Inhibited","836"
"81","Prion diseases",0.102329957410529,1,1,1,1,"Inhibited","6352"
"82","Vibrio cholerae infection",0.1659813258056,1,1,1,1,"Inhibited","60"
"83","African trypanosomiasis",0.00361595289457313,1,1,1,1,"Inhibited","3586 3383"
"84","Staphylococcus aureus infection",0.000661168438882915,1,1,1,1,"Inhibited","3383 3684 3586"
"85","Transcriptional misregulation in cancer",0.00243892605517346,1,1,1,1,"Inhibited","3576 3684 3002 5970"
"86","Viral carcinogenesis",7.94065502988043e-06,1,1,1,1,"Inhibited","836 6714 6774 5970 1234 3665 5610"
"87","Renal cell carcinoma",0.221839961209681,1,1,1,1,"Inhibited","207"
"88","Bladder cancer",0.121529034519432,1,1,1,1,"Inhibited","3576"
"89","Autoimmune thyroid disease",0.000142151765070692,1,1,1,1,"Inhibited","3002 1493 3586"
"90","Systemic lupus erythematosus",0.337356651873071,1,1,1,1,"Inhibited","3586"
"91","Allograft rejection",0.00433256260323775,1,1,1,1,"Inhibited","3002 3586"
"92","Graft-versus-host disease",0.106202354466726,1,1,1,1,"Inhibited","3002"
"93","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",0.125320313636773,1,1,1,1,"Inhibited","60"
"94","Dilated cardiomyopathy",0.140325863078405,1,1,1,1,"Inhibited","60"
